cc_article_number,URL,article_title
CC 1901,https://www.legis.la.gov/legis/Law.aspx?d=109147,Compensation by agreement
CC 1902,https://www.legis.la.gov/legis/Law.aspx?d=109148,Compensation by judicial declaration
CC 1903,https://www.legis.la.gov/legis/Law.aspx?d=109149,Union of qualities of obligee and obligor
CC 1904,https://www.legis.la.gov/legis/Law.aspx?d=109150,Obligation of the surety
CC 1905,https://www.legis.la.gov/legis/Law.aspx?d=109151,Solidary obligations
CC 1906,https://www.legis.la.gov/legis/Law.aspx?d=109152,Definition of contract
CC 1907,https://www.legis.la.gov/legis/Law.aspx?d=109153,Unilateral contracts
CC 1908,https://www.legis.la.gov/legis/Law.aspx?d=109154,Bilateral or synallagmatic contracts
CC 1909,https://www.legis.la.gov/legis/Law.aspx?d=109155,Onerous contracts
CC 1910,https://www.legis.la.gov/legis/Law.aspx?d=109157,Gratuitous contracts
CC 1911,https://www.legis.la.gov/legis/Law.aspx?d=109158,Commutative contracts
CC 1912,https://www.legis.la.gov/legis/Law.aspx?d=109159,Aleatory contracts
CC 1913,https://www.legis.la.gov/legis/Law.aspx?d=109160,Principal and accessory contracts
CC 1914,https://www.legis.la.gov/legis/Law.aspx?d=109161,Nominate and innominate contracts
CC 1915,https://www.legis.la.gov/legis/Law.aspx?d=109162,Rules applicable to all contracts
CC 1916,https://www.legis.la.gov/legis/Law.aspx?d=109163,Rules applicable to nominate contracts
CC 1917,https://www.legis.la.gov/legis/Law.aspx?d=109164,Rules applicable to all kinds of obligations
CC 1918,https://www.legis.la.gov/legis/Law.aspx?d=109165,General statement of capacity
CC 1919,https://www.legis.la.gov/legis/Law.aspx?d=109166,Right to plead rescission
CC 1920,https://www.legis.la.gov/legis/Law.aspx?d=109167,Right to require confirmation or rescission of the contract
CC 1921,https://www.legis.la.gov/legis/Law.aspx?d=109168,Rescission of contract for incapacity
CC 1922,https://www.legis.la.gov/legis/Law.aspx?d=109169,Fully emancipated minor
CC 1923,https://www.legis.la.gov/legis/Law.aspx?d=109170,Incapacity of unemancipated minor; exceptions
CC 1924,https://www.legis.la.gov/legis/Law.aspx?d=109171,Mere representation of majority; reliance
CC 1925,https://www.legis.la.gov/legis/Law.aspx?d=109172,Noninterdicted person deprived of reason; protection of innocent contracting party by onerous title
CC 1926,https://www.legis.la.gov/legis/Law.aspx?d=109173,Attack on noninterdicted decedent's contracts
CC 1927,https://www.legis.la.gov/legis/Law.aspx?d=109174,Consent
CC 1928,https://www.legis.la.gov/legis/Law.aspx?d=109175,Irrevocable offer
CC 1929,https://www.legis.la.gov/legis/Law.aspx?d=109176,Expiration of irrevocable offer for lack of acceptance
CC 1930,https://www.legis.la.gov/legis/Law.aspx?d=109178,Revocable offer
CC 1931,https://www.legis.la.gov/legis/Law.aspx?d=109179,Expiration of revocable offer
CC 1932,https://www.legis.la.gov/legis/Law.aspx?d=109180,Expiration of offer by death or incapacity of either party
CC 1933,https://www.legis.la.gov/legis/Law.aspx?d=109181,Option contracts
CC 1934,https://www.legis.la.gov/legis/Law.aspx?d=109182,Time when acceptance of an irrevocable offer is effective
CC 1935,https://www.legis.la.gov/legis/Law.aspx?d=109183,Time when acceptance of a revocable offer is effective
CC 1936,https://www.legis.la.gov/legis/Law.aspx?d=109184,Reasonableness of manner and medium of acceptance
CC 1937,https://www.legis.la.gov/legis/Law.aspx?d=109185,Time when revocation is effective
CC 1938,https://www.legis.la.gov/legis/Law.aspx?d=109186,"Reception of revocation, rejection, or acceptance"
CC 1939,https://www.legis.la.gov/legis/Law.aspx?d=109187,Acceptance by performance
CC 1940,https://www.legis.la.gov/legis/Law.aspx?d=109189,Acceptance only by completed performance
CC 1941,https://www.legis.la.gov/legis/Law.aspx?d=109190,Notice of commencement of performance
CC 1942,https://www.legis.la.gov/legis/Law.aspx?d=109191,Acceptance by silence
CC 1943,https://www.legis.la.gov/legis/Law.aspx?d=109192,Acceptance not in accordance with offer
CC 1944,https://www.legis.la.gov/legis/Law.aspx?d=109193,Offer of reward made to the public
CC 1945,https://www.legis.la.gov/legis/Law.aspx?d=109194,Revocation of an offer of reward made to the public
CC 1946,https://www.legis.la.gov/legis/Law.aspx?d=109195,Performance by several persons
CC 1947,https://www.legis.la.gov/legis/Law.aspx?d=109196,Form contemplated by parties
CC 1948,https://www.legis.la.gov/legis/Law.aspx?d=109197,Vitiated consent
CC 1949,https://www.legis.la.gov/legis/Law.aspx?d=109198,Error vitiates consent
CC 1950,https://www.legis.la.gov/legis/Law.aspx?d=109200,Error that concerns cause
CC 1951,https://www.legis.la.gov/legis/Law.aspx?d=109201,Other party willing to perform
CC 1952,https://www.legis.la.gov/legis/Law.aspx?d=109202,Rescission; liability for damages
CC 1953,https://www.legis.la.gov/legis/Law.aspx?d=109203,Fraud may result from misrepresentation or from silence
CC 1954,https://www.legis.la.gov/legis/Law.aspx?d=109204,Confidence between the parties
CC 1955,https://www.legis.la.gov/legis/Law.aspx?d=109205,Error induced by fraud
CC 1956,https://www.legis.la.gov/legis/Law.aspx?d=109206,Fraud committed by a third person
CC 1957,https://www.legis.la.gov/legis/Law.aspx?d=109207,Proof
CC 1958,https://www.legis.la.gov/legis/Law.aspx?d=109208,Damages
CC 1959,https://www.legis.la.gov/legis/Law.aspx?d=109209,Nature
CC 1960,https://www.legis.la.gov/legis/Law.aspx?d=109211,Duress directed against third persons
CC 1961,https://www.legis.la.gov/legis/Law.aspx?d=109212,Duress by third person
CC 1962,https://www.legis.la.gov/legis/Law.aspx?d=109213,Threat of exercising a right
CC 1963,https://www.legis.la.gov/legis/Law.aspx?d=109214,Contract with party in good faith
CC 1964,https://www.legis.la.gov/legis/Law.aspx?d=109215,Damages
CC 1965,https://www.legis.la.gov/legis/Law.aspx?d=109216,Lesion
CC 1966,https://www.legis.la.gov/legis/Law.aspx?d=109217,No obligation without cause
CC 1967,https://www.legis.la.gov/legis/Law.aspx?d=109218,Cause defined; detrimental reliance
CC 1968,https://www.legis.la.gov/legis/Law.aspx?d=109219,Unlawful cause
CC 1969,https://www.legis.la.gov/legis/Law.aspx?d=109220,Cause not expressed
CC 1970,https://www.legis.la.gov/legis/Law.aspx?d=109222,Untrue expression of cause
CC 1971,https://www.legis.la.gov/legis/Law.aspx?d=109223,Freedom of parties
CC 1972,https://www.legis.la.gov/legis/Law.aspx?d=109224,Possible or impossible object
CC 1973,https://www.legis.la.gov/legis/Law.aspx?d=109225,Object determined as to kind
CC 1974,https://www.legis.la.gov/legis/Law.aspx?d=109226,Determination by third person
CC 1975,https://www.legis.la.gov/legis/Law.aspx?d=109227,Output or requirements
CC 1976,https://www.legis.la.gov/legis/Law.aspx?d=109228,Future things
CC 1977,https://www.legis.la.gov/legis/Law.aspx?d=109229,Obligation or performance by a third person
CC 1978,https://www.legis.la.gov/legis/Law.aspx?d=109230,Stipulation for a third party
CC 1979,https://www.legis.la.gov/legis/Law.aspx?d=109231,Revocation
CC 1980,https://www.legis.la.gov/legis/Law.aspx?d=109233,Revocation or refusal
CC 1981,https://www.legis.la.gov/legis/Law.aspx?d=109234,Rights of beneficiary and stipulator
CC 1982,https://www.legis.la.gov/legis/Law.aspx?d=109235,Defenses of the promisor
CC 1983,https://www.legis.la.gov/legis/Law.aspx?d=109236,Law for the parties; performance in good faith
CC 1984,https://www.legis.la.gov/legis/Law.aspx?d=109237,Rights and obligations will pass to successors
CC 1985,https://www.legis.la.gov/legis/Law.aspx?d=109238,Effects for third parties
CC 1986,https://www.legis.la.gov/legis/Law.aspx?d=109239,Right of the obligee
CC 1987,https://www.legis.la.gov/legis/Law.aspx?d=109240,Right to restrain obligor
CC 1988,https://www.legis.la.gov/legis/Law.aspx?d=109241,Judgment may stand for act
CC 1989,https://www.legis.la.gov/legis/Law.aspx?d=109242,Damages for delay
CC 1990,https://www.legis.la.gov/legis/Law.aspx?d=109244,Obligor put in default by arrival of term
CC 1991,https://www.legis.la.gov/legis/Law.aspx?d=109245,Manners of putting in default
CC 1992,https://www.legis.la.gov/legis/Law.aspx?d=109246,Risk devolves upon the obligor
CC 1993,https://www.legis.la.gov/legis/Law.aspx?d=109247,Reciprocal obligations
CC 1994,https://www.legis.la.gov/legis/Law.aspx?d=109248,Obligor liable for failure to perform
CC 1995,https://www.legis.la.gov/legis/Law.aspx?d=109249,Measure of damages
CC 1996,https://www.legis.la.gov/legis/Law.aspx?d=109250,Obligor in good faith
CC 1997,https://www.legis.la.gov/legis/Law.aspx?d=109251,Obligor in bad faith
CC 1998,https://www.legis.la.gov/legis/Law.aspx?d=109252,Damages for nonpecuniary loss
CC 1999,https://www.legis.la.gov/legis/Law.aspx?d=109253,Assessment of damages left to the court
CC 2000,https://www.legis.la.gov/legis/Law.aspx?d=109256,Damages for delay measured by interest; no need of proof; attorney fees
CC 2001,https://www.legis.la.gov/legis/Law.aspx?d=109257,Interest on interest
CC 2002,https://www.legis.la.gov/legis/Law.aspx?d=109258,Reasonable efforts to mitigate damages
CC 2003,https://www.legis.la.gov/legis/Law.aspx?d=109259,Obligee in bad faith
CC 2004,https://www.legis.la.gov/legis/Law.aspx?d=109260,Clause that excludes or limits liability
CC 2005,https://www.legis.la.gov/legis/Law.aspx?d=109261,Secondary obligation
CC 2006,https://www.legis.la.gov/legis/Law.aspx?d=109262,Nullity of the principal obligation
CC 2007,https://www.legis.la.gov/legis/Law.aspx?d=109263,Stipulated damages or performance
CC 2008,https://www.legis.la.gov/legis/Law.aspx?d=109264,Failure to perform justified
CC 2009,https://www.legis.la.gov/legis/Law.aspx?d=109265,Obligee not bound to prove damage
CC 2010,https://www.legis.la.gov/legis/Law.aspx?d=109267,Obligor put in default
CC 2011,https://www.legis.la.gov/legis/Law.aspx?d=109268,Benefit from partial performance
CC 2012,https://www.legis.la.gov/legis/Law.aspx?d=109269,Stipulated damages may not be modified
CC 2013,https://www.legis.la.gov/legis/Law.aspx?d=109270,Obligee's right to dissolution
CC 2014,https://www.legis.la.gov/legis/Law.aspx?d=109271,Importance of failure to perform
CC 2015,https://www.legis.la.gov/legis/Law.aspx?d=109272,Dissolution after notice to perform
CC 2016,https://www.legis.la.gov/legis/Law.aspx?d=109273,Dissolution without notice to perform
CC 2017,https://www.legis.la.gov/legis/Law.aspx?d=109274,Express dissolution clause
CC 2018,https://www.legis.la.gov/legis/Law.aspx?d=109275,Effects of dissolution
CC 2019,https://www.legis.la.gov/legis/Law.aspx?d=109276,Contracts for continuous or periodic performance
CC 2020,https://www.legis.la.gov/legis/Law.aspx?d=109278,Contracts made by more than two parties
CC 2021,https://www.legis.la.gov/legis/Law.aspx?d=109279,Rights of third party in good faith
CC 2022,https://www.legis.la.gov/legis/Law.aspx?d=109280,Refusal to perform
CC 2023,https://www.legis.la.gov/legis/Law.aspx?d=109281,Security for performance
CC 2024,https://www.legis.la.gov/legis/Law.aspx?d=109282,Contract terminated by a party's initiative
CC 2025,https://www.legis.la.gov/legis/Law.aspx?d=109283,Definition; simulation and counterletter
CC 2026,https://www.legis.la.gov/legis/Law.aspx?d=109284,Absolute simulation
CC 2027,https://www.legis.la.gov/legis/Law.aspx?d=109285,Relative simulation
CC 2028,https://www.legis.la.gov/legis/Law.aspx?d=109286,Effects as to third persons
CC 2029,https://www.legis.la.gov/legis/Law.aspx?d=109287,Nullity of contracts
CC 2030,https://www.legis.la.gov/legis/Law.aspx?d=109289,Absolute nullity of contracts
CC 2031,https://www.legis.la.gov/legis/Law.aspx?d=109290,Relative nullity of contracts
CC 2032,https://www.legis.la.gov/legis/Law.aspx?d=109291,Prescription of action
CC 2033,https://www.legis.la.gov/legis/Law.aspx?d=109292,Effects
CC 2034,https://www.legis.la.gov/legis/Law.aspx?d=109293,Nullity of a provision
CC 2035,https://www.legis.la.gov/legis/Law.aspx?d=109294,Rights of third party in good faith
CC 2036,https://www.legis.la.gov/legis/Law.aspx?d=109295,Act of the obligor that causes or increases his insolvency
CC 2037,https://www.legis.la.gov/legis/Law.aspx?d=109296,Insolvency
CC 2038,https://www.legis.la.gov/legis/Law.aspx?d=109297,Onerous contract made by the obligor
CC 2039,https://www.legis.la.gov/legis/Law.aspx?d=109298,Gratuitous contract made by the obligor
CC 2040,https://www.legis.la.gov/legis/Law.aspx?d=109300,Contract made in course of business
CC 2041,https://www.legis.la.gov/legis/Law.aspx?d=109301,Action must be brought within one year
CC 2042,https://www.legis.la.gov/legis/Law.aspx?d=109302,Obligee must join obligor and third persons
CC 2043,https://www.legis.la.gov/legis/Law.aspx?d=109303,Assets transferred must be returned
CC 2044,https://www.legis.la.gov/legis/Law.aspx?d=109304,Insolvency by failure to exercise right
CC 2045,https://www.legis.la.gov/legis/Law.aspx?d=109305,Determination of the intent of the parties
CC 2046,https://www.legis.la.gov/legis/Law.aspx?d=109306,No further interpretation when intent is clear
CC 2047,https://www.legis.la.gov/legis/Law.aspx?d=109307,Meaning of words
CC 2048,https://www.legis.la.gov/legis/Law.aspx?d=109308,Words susceptible of different meanings
CC 2049,https://www.legis.la.gov/legis/Law.aspx?d=109309,Provision susceptible of different meanings
CC 2050,https://www.legis.la.gov/legis/Law.aspx?d=109311,Provisions interpreted in light of each other
CC 2051,https://www.legis.la.gov/legis/Law.aspx?d=109312,Contract worded in general terms
CC 2052,https://www.legis.la.gov/legis/Law.aspx?d=109313,Situation to which the contract applies
CC 2053,https://www.legis.la.gov/legis/Law.aspx?d=109314,"Nature of contract, equity, usages, conduct of the parties, and other contracts between same parties"
CC 2054,https://www.legis.la.gov/legis/Law.aspx?d=109315,No provision of the parties for a particular situation
CC 2055,https://www.legis.la.gov/legis/Law.aspx?d=109316,Equity and usage
CC 2056,https://www.legis.la.gov/legis/Law.aspx?d=109317,Standard-form contracts
CC 2057,https://www.legis.la.gov/legis/Law.aspx?d=109318,Contract interpreted in favor of obligor
CC 2058,https://www.legis.la.gov/legis/Law.aspx?d=109319,"Arts. 2058 to 2291 Repealed by Acts 1984, No. 331, 1, eff. Jan. 1, 1985."
CC 2292,https://www.legis.la.gov/legis/Law.aspx?d=109344,Management of affairs; definition
CC 2293,https://www.legis.la.gov/legis/Law.aspx?d=109345,Application of rules governing mandate
CC 2294,https://www.legis.la.gov/legis/Law.aspx?d=109346,Duties of the manager; notice to the owner
CC 2295,https://www.legis.la.gov/legis/Law.aspx?d=109347,Duties of the manager; liability for loss
CC 2296,https://www.legis.la.gov/legis/Law.aspx?d=109348,Capacity
CC 2297,https://www.legis.la.gov/legis/Law.aspx?d=109349,Obligations of the owner
CC 2298,https://www.legis.la.gov/legis/Law.aspx?d=109350,Enrichment without cause; compensation
CC 2299,https://www.legis.la.gov/legis/Law.aspx?d=109351,Obligation to restore
CC 2300,https://www.legis.la.gov/legis/Law.aspx?d=109353,Obligation that does not exist
CC 2301,https://www.legis.la.gov/legis/Law.aspx?d=109354,Obligation under suspensive condition
CC 2302,https://www.legis.la.gov/legis/Law.aspx?d=109355,Payment of the debt of another person
CC 2303,https://www.legis.la.gov/legis/Law.aspx?d=109356,Liability of the person receiving payment
CC 2304,https://www.legis.la.gov/legis/Law.aspx?d=109357,Restoration of a thing or its value
CC 2305,https://www.legis.la.gov/legis/Law.aspx?d=109358,Liability when the thing is alienated
CC 2306,https://www.legis.la.gov/legis/Law.aspx?d=109359,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2307,https://www.legis.la.gov/legis/Law.aspx?d=109360,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2308,https://www.legis.la.gov/legis/Law.aspx?d=109361,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2309,https://www.legis.la.gov/legis/Law.aspx?d=109362,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2310,https://www.legis.la.gov/legis/Law.aspx?d=109364,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2311,https://www.legis.la.gov/legis/Law.aspx?d=109365,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2312,https://www.legis.la.gov/legis/Law.aspx?d=109366,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2313,https://www.legis.la.gov/legis/Law.aspx?d=109367,"Repealed by Acts 1995, No. 1041, eff. Jan. 1, 1996."
CC 2314,https://www.legis.la.gov/legis/Law.aspx?d=109368,"Repealed by Acts 1979, No. 180, 3."
CC 2315,https://www.legis.la.gov/legis/Law.aspx?d=109369,Liability for acts causing damages
CC 2315.1,https://www.legis.la.gov/legis/Law.aspx?d=109370,Survival action
CC 2315.2,https://www.legis.la.gov/legis/Law.aspx?d=109371,Wrongful death action
CC 2315.3,https://www.legis.la.gov/legis/Law.aspx?d=109372,Additional damages; child pornography
CC 2315.4,https://www.legis.la.gov/legis/Law.aspx?d=109373,Additional damages; intoxicated defendant
CC 2315.5,https://www.legis.la.gov/legis/Law.aspx?d=109374,Wrongful death and survival action; exception
CC 2315.6,https://www.legis.la.gov/legis/Law.aspx?d=109375,Liability for damages caused by injury to another
CC 2315.7,https://www.legis.la.gov/legis/Law.aspx?d=109376,Liability for damages caused by criminal sexual activity occurring during childhood
CC 2315.8,https://www.legis.la.gov/legis/Law.aspx?d=918005,Liability for damages caused by domestic abuse
CC 2315.9,https://www.legis.la.gov/legis/Law.aspx?d=962264,Liability for damages caused by acts of terror
CC 2315.10,https://www.legis.la.gov/legis/Law.aspx?d=1106200,Liability for death caused by hazing; additional damages
CC 2315.11,https://www.legis.la.gov/legis/Law.aspx?d=1238026,Liability for damages caused by sexual assault
CC 2316,https://www.legis.la.gov/legis/Law.aspx?d=109377,"Negligence, imprudence or want of skill."
CC 2317,https://www.legis.la.gov/legis/Law.aspx?d=109378,Acts of others and of things in custody.
CC 2317.1,https://www.legis.la.gov/legis/Law.aspx?d=109379,"Damage caused by ruin, vice, or defect in things"
CC 2318,https://www.legis.la.gov/legis/Law.aspx?d=109380,Acts of a minor
CC 2319,https://www.legis.la.gov/legis/Law.aspx?d=109381,Acts of interdicts
CC 2320,https://www.legis.la.gov/legis/Law.aspx?d=109383,"Acts of servants, students or apprentices"
CC 2321,https://www.legis.la.gov/legis/Law.aspx?d=109384,Damage caused by animals
CC 2322,https://www.legis.la.gov/legis/Law.aspx?d=109385,Damage caused by ruin of building
CC 2322.1,https://www.legis.la.gov/legis/Law.aspx?d=109386,Users of blood or tissue; a medical service
CC 2323,https://www.legis.la.gov/legis/Law.aspx?d=109387,Comparative fault
CC 2324,https://www.legis.la.gov/legis/Law.aspx?d=109388,Liability as solidary or joint and divisible obligation
CC 2324.1,https://www.legis.la.gov/legis/Law.aspx?d=109389,Damages; discretion of judge or jury
CC 2324.2,https://www.legis.la.gov/legis/Law.aspx?d=109390,Reduction of recovery
CC 2325,https://www.legis.la.gov/legis/Law.aspx?d=109391,Matrimonial regime.
CC 2326,https://www.legis.la.gov/legis/Law.aspx?d=109392,Kinds of matrimonial regimes.
CC 2327,https://www.legis.la.gov/legis/Law.aspx?d=109393,Legal regime.
CC 2328,https://www.legis.la.gov/legis/Law.aspx?d=109394,Contractual regime; matrimonial agreement.
CC 2329,https://www.legis.la.gov/legis/Law.aspx?d=109395,Exclusion or modification of matrimonial regime.
CC 2330,https://www.legis.la.gov/legis/Law.aspx?d=109397,Limits of contractual freedom.
CC 2331,https://www.legis.la.gov/legis/Law.aspx?d=109398,Form of matrimonial agreement.
CC 2332,https://www.legis.la.gov/legis/Law.aspx?d=109399,Effect toward third persons.
CC 2333,https://www.legis.la.gov/legis/Law.aspx?d=109400,Minors.
CC 2334,https://www.legis.la.gov/legis/Law.aspx?d=109401,Persons; scope of application of the legal regime.
CC 2335,https://www.legis.la.gov/legis/Law.aspx?d=109402,Classification of property
CC 2336,https://www.legis.la.gov/legis/Law.aspx?d=109403,Ownership of community property
CC 2337,https://www.legis.la.gov/legis/Law.aspx?d=109404,Disposition of undivided interest.
CC 2338,https://www.legis.la.gov/legis/Law.aspx?d=109405,Community property.
CC 2339,https://www.legis.la.gov/legis/Law.aspx?d=109406,Fruits and revenues of separate property
CC 2340,https://www.legis.la.gov/legis/Law.aspx?d=109408,Presumption of community.
CC 2341,https://www.legis.la.gov/legis/Law.aspx?d=109409,Separate property.
CC 2341.1,https://www.legis.la.gov/legis/Law.aspx?d=109410,Acquisition of undivided interests; separate and community property
CC 2342,https://www.legis.la.gov/legis/Law.aspx?d=109411,Declaration of acquisition of separate property
CC 2343,https://www.legis.la.gov/legis/Law.aspx?d=109412,Donation by spouse of interest in community.
CC 2343.1,https://www.legis.la.gov/legis/Law.aspx?d=109413,Transfer of separate property to the community.
CC 2344,https://www.legis.la.gov/legis/Law.aspx?d=109414,Offenses and quasi-offenses; damages as community or separate property.
CC 2345,https://www.legis.la.gov/legis/Law.aspx?d=109415,Satisfaction of obligation during community.
CC 2346,https://www.legis.la.gov/legis/Law.aspx?d=109416,Management of community property.
CC 2347,https://www.legis.la.gov/legis/Law.aspx?d=109417,Alienation of community property; concurrence of other spouse.
CC 2348,https://www.legis.la.gov/legis/Law.aspx?d=109418,Renunciation of right to concur.
CC 2349,https://www.legis.la.gov/legis/Law.aspx?d=109419,Donation of community property; concurrence of other spouse.
CC 2350,https://www.legis.la.gov/legis/Law.aspx?d=109421,Alienation of movable assets of business
CC 2351,https://www.legis.la.gov/legis/Law.aspx?d=109422,Alienation of registered movables.
CC 2352,https://www.legis.la.gov/legis/Law.aspx?d=109423,Management and disposition of partnership and limited liability company interest
CC 2353,https://www.legis.la.gov/legis/Law.aspx?d=109424,Unauthorized alienation of community property.
CC 2354,https://www.legis.la.gov/legis/Law.aspx?d=109425,Liability for fraud or bad faith.
CC 2355,https://www.legis.la.gov/legis/Law.aspx?d=109426,Judicial authorization to act without the consent of the other spouse
CC 2355.1,https://www.legis.la.gov/legis/Law.aspx?d=109427,Judicial authorization to manage the community
CC 2356,https://www.legis.la.gov/legis/Law.aspx?d=109428,Causes of termination
CC 2357,https://www.legis.la.gov/legis/Law.aspx?d=109429,Satisfaction of obligation after termination of regime
CC 2358,https://www.legis.la.gov/legis/Law.aspx?d=109430,Claims for reimbursement between spouses
CC 2358.1,https://www.legis.la.gov/legis/Law.aspx?d=109431,Source of reimbursement
CC 2359,https://www.legis.la.gov/legis/Law.aspx?d=109432,Obligations; community or separate.
CC 2360,https://www.legis.la.gov/legis/Law.aspx?d=109434,Community obligation.
CC 2361,https://www.legis.la.gov/legis/Law.aspx?d=109435,Obligations incurred during marriage; presumption.
CC 2362,https://www.legis.la.gov/legis/Law.aspx?d=109436,Alimentary obligation.
CC 2362.1,https://www.legis.la.gov/legis/Law.aspx?d=109437,Obligation incurred in an action for divorce
CC 2363,https://www.legis.la.gov/legis/Law.aspx?d=109438,Separate obligation
CC 2364,https://www.legis.la.gov/legis/Law.aspx?d=109439,Satisfaction of separate obligation with community property or former community property.
CC 2364.1,https://www.legis.la.gov/legis/Law.aspx?d=109440,"Repealed by Acts 2009, No. 204, §3."
CC 2365,https://www.legis.la.gov/legis/Law.aspx?d=109441,Satisfaction of community obligation with separate property
CC 2366,https://www.legis.la.gov/legis/Law.aspx?d=109442,Use of community property or former community property for the benefit of separate property
CC 2367,https://www.legis.la.gov/legis/Law.aspx?d=109443,Use of separate property for the benefit of community property
CC 2367.1,https://www.legis.la.gov/legis/Law.aspx?d=109444,Use of separate property for the benefit of separate property
CC 2367.2,https://www.legis.la.gov/legis/Law.aspx?d=109445,Component parts of separate property
CC 2367.3,https://www.legis.la.gov/legis/Law.aspx?d=669809,Satisfaction of separate obligation with separate property
CC 2368,https://www.legis.la.gov/legis/Law.aspx?d=109446,Increase of the value of separate property.
CC 2369,https://www.legis.la.gov/legis/Law.aspx?d=109447,Accounting between spouses; prescription.
CC 2369.1,https://www.legis.la.gov/legis/Law.aspx?d=109448,Application of co-ownership provisions
CC 2369.2,https://www.legis.la.gov/legis/Law.aspx?d=109449,Ownership interest
CC 2369.3,https://www.legis.la.gov/legis/Law.aspx?d=109450,Duty to preserve; standard of care
CC 2369.4,https://www.legis.la.gov/legis/Law.aspx?d=109451,"Alienation, encumbrance, or lease prohibited"
CC 2369.5,https://www.legis.la.gov/legis/Law.aspx?d=109452,Alienation of registered movables
CC 2369.6,https://www.legis.la.gov/legis/Law.aspx?d=109453,"Alienation, encumbrance, or lease of movable assets of former community enterprise"
CC 2369.7,https://www.legis.la.gov/legis/Law.aspx?d=109454,Court authorization to act alone
CC 2369.8,https://www.legis.la.gov/legis/Law.aspx?d=109455,Right to partition; no exclusion by agreement; judicial partition
CC 2370,https://www.legis.la.gov/legis/Law.aspx?d=109457,Separation of property regime.
CC 2371,https://www.legis.la.gov/legis/Law.aspx?d=109458,Management of property.
CC 2372,https://www.legis.la.gov/legis/Law.aspx?d=109459,Necessaries.
CC 2373,https://www.legis.la.gov/legis/Law.aspx?d=109460,Expenses of the marriage.
CC 2374,https://www.legis.la.gov/legis/Law.aspx?d=109461,Judgment of separation of property
CC 2375,https://www.legis.la.gov/legis/Law.aspx?d=109462,Effect of judgment
CC 2376,https://www.legis.la.gov/legis/Law.aspx?d=109463,Rights of creditors.
CC 2377,https://www.legis.la.gov/legis/Law.aspx?d=109464,"Arts. 2377 to 2431 Repealed by Acts 1978, No. 627, 6; Acts 1979, No. 709, 1"
CC 2432,https://www.legis.la.gov/legis/Law.aspx?d=109472,Right to marital portion.
CC 2433,https://www.legis.la.gov/legis/Law.aspx?d=109473,Incident of marriage; charge on the succession.
CC 2434,https://www.legis.la.gov/legis/Law.aspx?d=109474,Quantum
CC 2435,https://www.legis.la.gov/legis/Law.aspx?d=109475,Deduction of legacy.
CC 2436,https://www.legis.la.gov/legis/Law.aspx?d=109476,Nonheritable right; prescription.
CC 2437,https://www.legis.la.gov/legis/Law.aspx?d=109477,Periodic allowance.
CC 2438,https://www.legis.la.gov/legis/Law.aspx?d=109478,Rules of other titles
CC 2439,https://www.legis.la.gov/legis/Law.aspx?d=109479,Definition
CC 2440,https://www.legis.la.gov/legis/Law.aspx?d=109481,"Sale of immovable, method of making"
CC 2441,https://www.legis.la.gov/legis/Law.aspx?d=109482,Reserved]
CC 2442,https://www.legis.la.gov/legis/Law.aspx?d=109483,Recordation of sale of immovable to affect third parties
CC 2443,https://www.legis.la.gov/legis/Law.aspx?d=109484,Purchase of a thing already owned
CC 2444,https://www.legis.la.gov/legis/Law.aspx?d=109485,"Repealed by Acts 2012, No. 277, §2."
CC 2445,https://www.legis.la.gov/legis/Law.aspx?d=109486,Reserved]
CC 2446,https://www.legis.la.gov/legis/Law.aspx?d=109487,Reserved]
CC 2447,https://www.legis.la.gov/legis/Law.aspx?d=109488,"Sale of litigious rights, prohibitions"
CC 2448,https://www.legis.la.gov/legis/Law.aspx?d=109489,Things that may be sold
CC 2449,https://www.legis.la.gov/legis/Law.aspx?d=109490,Reserved]
CC 2450,https://www.legis.la.gov/legis/Law.aspx?d=109492,Sale of future things
CC 2451,https://www.legis.la.gov/legis/Law.aspx?d=109493,Sale of a hope
CC 2452,https://www.legis.la.gov/legis/Law.aspx?d=109494,Sale of the thing of another
CC 2453,https://www.legis.la.gov/legis/Law.aspx?d=109495,Sale of thing pending litigation of ownership
CC 2454,https://www.legis.la.gov/legis/Law.aspx?d=109496,Reserved]
CC 2455,https://www.legis.la.gov/legis/Law.aspx?d=109497,Reserved]
CC 2456,https://www.legis.la.gov/legis/Law.aspx?d=109498,Transfer of ownership
CC 2457,https://www.legis.la.gov/legis/Law.aspx?d=109499,Transfer of ownership; things not individualized
CC 2458,https://www.legis.la.gov/legis/Law.aspx?d=109500,"Sale by weight, tale or measure; lump sales"
CC 2459,https://www.legis.la.gov/legis/Law.aspx?d=109501,Reserved]
CC 2460,https://www.legis.la.gov/legis/Law.aspx?d=109503,Sale on view or trial
