article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
1841,Copy of recorded writing,"When an authentic act or an acknowledged act under private signature has been filed for registry with a public officer, a copy of the act thus filed, when certified by that officer, constitutes proof of the contents of the original.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1842,Confirmation,"Confirmation is a declaration whereby a person cures the relative nullity of an obligation.
An express act of confirmation must contain or identify the substance of the obligation and evidence the intention to cure its relative nullity.
Tacit confirmation may result from voluntary performance of the obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1843,Ratification,"Ratification is a declaration whereby a person gives his consent to an obligation incurred on his behalf by another without authority.
An express act of ratification must evidence the intention to be bound by the ratified obligation.
Tacit ratification results when a person, with knowledge of an obligation incurred on his behalf by another, accepts the benefit of that obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1844,Effects of confirmation and ratification,"The effects of confirmation and ratification are retroactive to the date of the confirmed or ratified obligation.  Neither confirmation nor ratification may impair the rights of third persons.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1845,Confirmation of donation,"A donation inter vivos that is null for lack of proper form may be confirmed by the donor but the confirmation must be made in the form required for a donation.
The universal successor of the donor may, after his death, expressly or tacitly confirm such a donation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1846,Contract not in excess of five hundred dollars,"When a writing is not required by law, a contract not reduced to writing, for a price or, in the absence of a price, for a value not in excess of five hundred dollars may be proved by competent evidence.
If the price or value is in excess of five hundred dollars, the contract must be proved by at least one witness and other corroborating circumstances.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1847,Debt of a third person and debt extinguished by prescription,"Parol evidence is inadmissible to establish either a promise to pay the debt of a third person or a promise to pay a debt extinguished by prescription.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1848,Testimonial or other evidence not admitted to disprove a writing,"Testimonial or other evidence may not be admitted to negate or vary the contents of an authentic act or an act under private signature.  Nevertheless, in the interest of justice, that evidence may be admitted to prove such circumstances as a vice of consent or to prove that the written act was modified by a subsequent and valid oral agreement.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1849,Proof of simulation,"In all cases, testimonial or other evidence may be admitted to prove the existence or a presumption of a simulation or to rebut such a presumption. Nevertheless, between the parties, a counterletter is required to prove that an act purporting to transfer immovable property is an absolute simulation, except when a simulation is presumed or as necessary to protect the rights of forced heirs.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1853,Judicial confession,"A judicial confession is a declaration made by a party in a judicial proceeding.  That confession constitutes full proof against the party who made it.
A judicial confession is indivisible and it may be revoked only on the ground of error of fact.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,5.  PROOF OF OBLIGATIONS,,
1854,Extinction by performance,"Performance by the obligor extinguishes the obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1855,Performance by a third person,"Performance may be rendered by a third person, even against the will of the obligee, unless the obligor or the obligee has an interest in performance only by the obligor.
Performance rendered by a third person effects subrogation only when so provided by law or by agreement.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1856,Valid transfer of object of performance,"An obligation that may be extinguished by the transfer of a thing is not extinguished unless the thing has been validly transferred to the obligee of performance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1857,Performance rendered to the obligee,"Performance must be rendered to the obligee or to a person authorized by him.
However, a performance rendered to an unauthorized person is valid if the obligee ratifies it.
In the absence of ratification, a performance rendered to an unauthorized person is valid if the obligee has derived a benefit from it, but only for the amount of the benefit.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1858,Lack of capacity of obligee,"Performance rendered to an obligee without capacity to receive it is valid to the extent of the benefit he derived from it.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1859,Performance in violation of seizure,"A performance rendered to an obligee in violation of a seizure is not valid against the seizing creditor who, according to his right, may force the obligor to perform again.
In that case, the obligor may recover the first performance from the obligee.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1860,Quality of thing to be given,"When the performance consists of giving a thing that is determined as to its kind only, the obligor need not give one of the best quality but he may not tender one of the worst.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1861,Partial performance,"An obligee may refuse to accept a partial performance.
Nevertheless, if the amount of an obligation to pay money is disputed in part and the obligor is willing to pay the undisputed part, the obligee may not refuse to accept that part.  If the obligee is willing to accept the undisputed part, the obligor must pay it.  In either case, the obligee preserves his right to claim the disputed part.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1862,Place of performance,"Performance shall be rendered in the place either stipulated in the agreement or intended by the parties according to usage, the nature of the performance, or other circumstances.
In the absence of agreement or other indication of the parties' intent, performance of an obligation to give an individually determined thing shall be rendered at the place the thing was when the obligation arose.  If the obligation is of any other kind, the performance shall be rendered at the domicile of the obligor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1863,Expenses,"Expenses that may be required to render performance shall be borne by the obligor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,1.  PERFORMANCE,
1864,Imputation by obligor,"An obligor who owes several debts to an obligee has the right to impute payment to the debt he intends to pay.
The obligor's intent to pay a certain debt may be expressed at the time of payment or may be inferred from circumstances known to the obligee.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,A.  IMPUTATION OF PAYMENT,A.  IMPUTATION OF PAYMENT
1865,Imputation to debt not yet due,"An obligor may not, without the obligee's consent, impute payment to a debt not yet due.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,A.  IMPUTATION OF PAYMENT,A.  IMPUTATION OF PAYMENT
1866,Payment imputed to interest,"An obligor of a debt that bears interest may not, without the obligee's consent, impute a payment to principal when interest is due.
A payment made on principal and interest must be imputed first to interest.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,A.  IMPUTATION OF PAYMENT,A.  IMPUTATION OF PAYMENT
1867,Imputation by obligee,"An obligor who has accepted a receipt that imputes payment to one of his debts may no longer demand imputation to another debt, unless the obligee has acted in bad faith.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,A.  IMPUTATION OF PAYMENT,A.  IMPUTATION OF PAYMENT
1868,Imputation not made by the parties,"When the parties have made no imputation, payment must be imputed to the debt that is already due.
If several debts are due, payment must be imputed to the debt that bears interest.
If all, or none, of the debts that are due bear interest, payment must be imputed to the debt that is secured.
If several unsecured debts bear interest, payment must be imputed to the debt that, because of the rate of interest, is most burdensome to the obligor.
If several secured debts bear no interest, payment must be imputed to the debt that, because of the nature of the security, is most burdensome to the obligor.
If the obligor had the same interest in paying all debts, payment must be imputed to the debt that became due first.
If all debts are of the same nature and became due at the same time, payment must be proportionally imputed to all.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,A.  IMPUTATION OF PAYMENT,A.  IMPUTATION OF PAYMENT
1869,Offer to perform and deposit by obligor,"When the object of the performance is the delivery of a thing or a sum of money and the obligee, without justification, fails to accept the performance tendered by the obligor, the tender, followed by deposit to the order of the court, produces all the effects of a performance from the time the tender was made if declared valid by the court.
A valid tender is an offer to perform according to the nature of the obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,B.  TENDER AND DEPOSIT,B.  TENDER AND DEPOSIT
1870,Notice as tender,"If the obligor knows or has reason to know that the obligee will refuse the performance, or when the object of the performance is the delivery of a thing or a sum of money at a place other than the obligee's domicile, a notice given to the obligee that the obligor is ready to perform has the same effect as a tender.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,B.  TENDER AND DEPOSIT,B.  TENDER AND DEPOSIT
1871,Deposit of things by obligor,"After the tender has been refused, the obligor may deposit the thing or the sum of money to the order of the court in a place designated by the court for that purpose, and may demand judgment declaring the performance valid.
If the deposit is accepted by the obligee, or if the court declares the performance valid, all expenses of the deposit must be borne by the obligee.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,B.  TENDER AND DEPOSIT,B.  TENDER AND DEPOSIT
1872,Sale of a thing and deposit of proceeds,"If performance consists of the delivery of a perishable thing, or of a thing whose deposit and custody are excessively costly in proportion to its value, the court may order the sale of the thing under the conditions that it may direct, and the deposit of the proceeds.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,B.  TENDER AND DEPOSIT,B.  TENDER AND DEPOSIT
1873,Obligor not liable when failure caused by fortuitous event,"An obligor is not liable for his failure to perform when it is caused by a fortuitous event that makes performance impossible.
An obligor is, however, liable for his failure to perform when he has assumed the risk of such a fortuitous event.
An obligor is liable also when the fortuitous event occurred after he has been put in default.
An obligor is likewise liable when the fortuitous event that caused his failure to perform has been preceded by his fault, without which the failure would not have occurred.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1874,Fortuitous event that would have destroyed object in hands of obligee,"An obligor who had been put in default when a fortuitous event made his performance impossible is not liable for his failure to perform if the fortuitous event would have likewise destroyed the object of the performance in the hands of the obligee had performance been timely rendered.
That obligor is, however, liable for the damage caused by his delay.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1875,Fortuitous event,"A fortuitous event is one that, at the time the contract was made, could not have been reasonably foreseen.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1876,Contract dissolved when performance becomes impossible,"When the entire performance owed by one party has become impossible because of a fortuitous event, the contract is dissolved.
The other party may then recover any performance he has already rendered.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1877,Fortuitous event that has made performance impossible in part,"When a fortuitous event has made a party's performance impossible in part, the court may reduce the other party's counterperformance proportionally, or, according to the circumstances, may declare the contract dissolved.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1878,Fortuitous event after obligor performed in part,"If a contract is dissolved because of a fortuitous event that occurred after an obligor has performed in part, the obligee is bound but only to the extent that he was enriched by the obligor's partial performance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,2.  IMPOSSIBILITY OF PERFORMANCE,B.  TENDER AND DEPOSIT
1879,Extinguishment of existing obligation,"Novation is the extinguishment of an existing obligation by the substitution of a new one.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1880,Novation not presumed,"The intention to extinguish the original obligation must be clear and unequivocal.  Novation may not be presumed.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1881,Objective novation,"Novation takes place when, by agreement of the parties, a new performance is substituted for that previously owed, or a new cause is substituted for that of the original obligation.  If any substantial part of the original performance is still owed, there is no novation.
Novation takes place also when the parties expressly declare their intention to novate an obligation.
Mere modification of an obligation, made without intention to extinguish it, does not effect a novation.  The execution of a new writing, the issuance or renewal of a negotiable instrument, or the giving of new securities for the performance of an existing obligation are examples of such a modification.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1882,Subjective novation,"Novation takes place when a new obligor is substituted for a prior obligor who is discharged by the obligee.  In that case, the novation is accomplished even without the consent of the prior obligor, unless he had an interest in performing the obligation himself.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1883,No effect when obligation is invalid,"Novation has no effect when the obligation it purports to extinguish does not exist or is absolutely null.
If the obligation is only relatively null, the novation is valid, provided the obligor of the new one knew of the defect of the extinguished obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1884,Security for extinguished obligation,"Security given for the performance of the extinguished obligation may not be transferred to the new obligation without agreement of the parties who gave the security.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1885,Novation of solidary obligation,"A novation made by the obligee and one of the obligors of a solidary obligation releases the other solidary obligors.
In that case, the security given for the performance of the extinguished obligation may be retained by the obligee only on property of that obligor with whom the novation has been made.
If the obligee requires that the other co-obligors remain solidarily bound, there is no novation unless the co-obligors consent to the new obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1886,Delegation of performance,"A delegation of performance by an obligor to a third person is effective when that person binds himself to perform.
A delegation effects a novation only when the obligee expressly discharges the original obligor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1887,Discharge of any prior obligor does not affect security,"If the new obligor has assumed the obligation and acquired the thing given as security, the discharge of any prior obligor by the obligee does not affect the security or its rank.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,3.  NOVATION,B.  TENDER AND DEPOSIT
1888,Express or tacit remission,"A remission of debt by an obligee extinguishes the obligation.  That remission may be express or tacit.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,4.  REMISSION OF DEBT,B.  TENDER AND DEPOSIT
1889,Presumption of remission,"An obligee's voluntary surrender to the obligor of the instrument evidencing the obligation gives rise to a presumption that the obligee intended to remit the debt.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,4.  REMISSION OF DEBT,B.  TENDER AND DEPOSIT
1890,Remission effective when communication is received by the obligor,"A remission of debt is effective when the obligor receives the communication from the obligee.  Acceptance of a remission is always presumed unless the obligor rejects the remission within a reasonable time.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,4.  REMISSION OF DEBT,B.  TENDER AND DEPOSIT
1891,Release of real security,"Release of a real security given for performance of the obligation does not give rise to a presumption of remission of debt.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,4.  REMISSION OF DEBT,B.  TENDER AND DEPOSIT
1892,Remission granted to sureties,"Remission of debt granted to the principal obligor releases the sureties.
Remission of debt granted to the sureties does not release the principal obligor.
Remission of debt granted to one surety releases the other sureties only to the extent of the contribution the other sureties might have recovered from the surety to whom the remission was granted.
If the obligee grants a remission of debt to a surety in return for an advantage, that advantage will be imputed to the debt, unless the surety and the obligee agree otherwise.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,4.  REMISSION OF DEBT,B.  TENDER AND DEPOSIT
1893,Compensation extinguishes obligations,"Compensation takes place by operation of law when two persons owe to each other sums of money or quantities of fungible things identical in kind, and these sums or quantities are liquidated and presently due.
In such a case, compensation extinguishes both obligations to the extent of the lesser amount.
Delays of grace do not prevent compensation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1894,Obligation not subject to compensation,"Compensation takes place regardless of the sources of the obligations.
Compensation does not take place, however, if one of the obligations is to return a thing of which the owner has been unjustly dispossessed, or is to return a thing given in deposit or loan for use, or if the object of one of the obligations is exempt from seizure.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1895,Obligations not to be performed at the same place,"Compensation takes place even though the obligations are not to be performed at the same place, but allowance must be made in that case for the expenses of remittance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1896,Rules of imputation of payment,"If an obligor owes more than one obligation subject to compensation, the rules of imputation of payment must be applied.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1897,Compensation extinguishes obligation of surety,"Compensation between obligee and principal obligor extinguishes the obligation of a surety.
Compensation between obligee and surety does not extinguish the obligation of the principal obligor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1898,Compensation between obligee and solidary obligor,"Compensation between the obligee and one solidary obligor extinguishes the obligation of the other solidary obligors only for the portion of that obligor.
Compensation between one solidary obligee and the obligor extinguishes the obligation only for the portion of that obligee.
The compensation provided in this Article does not operate in favor of a liability insurer.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1899,Rights acquired by third parties,"Compensation can neither take place nor may it be renounced to the prejudice of rights previously acquired by third parties.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1900,Assignment by obligee,"An obligor who has consented to an assignment of the credit by the obligee to a third party may not claim against the latter any compensation that otherwise he could have claimed against the former.
An obligor who has been given notice of an assignment to which he did not consent may not claim compensation against the assignee for an obligation of the assignor arising after that notice.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1901,Compensation by agreement,"Compensation of obligations may take place also by agreement of the parties even though the requirements for compensation by operation of law are not met.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1902,Compensation by judicial declaration,"Although the obligation claimed in compensation is unliquidated, the court can declare compensation as to that part of the obligation that is susceptible of prompt and easy liquidation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,5.  COMPENSATION,B.  TENDER AND DEPOSIT
1903,Union of qualities of obligee and obligor,"When the qualities of obligee and obligor are united in the same person, the obligation is extinguished by confusion.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,6.  CONFUSION,B.  TENDER AND DEPOSIT
1904,Obligation of the surety,"Confusion of the qualities of obligee and obligor in the person of the principal obligor extinguishes the obligation of the surety.
Confusion of the qualities of obligee and obligor in the person of the surety does not extinguish the obligation of the principal obligor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,6.  CONFUSION,B.  TENDER AND DEPOSIT
1905,Solidary obligations,"If a solidary obligor becomes an obligee, confusion extinguishes the obligation only for the portion of that obligor.
If a solidary obligee becomes an obligor, confusion extinguishes the obligation only for the portion of that obligee.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,III.  OBLIGATIONS IN GENERAL,6.  EXTINCTION OF OBLIGATIONS,6.  CONFUSION,B.  TENDER AND DEPOSIT
1906,Definition of contract,"A contract is an agreement by two or more parties whereby obligations are created, modified, or extinguished.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1907,Unilateral contracts,"A contract is unilateral when the party who accepts the obligation of the other does not assume a reciprocal obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1908,Bilateral or synallagmatic contracts,"A contract is bilateral, or synallagmatic, when the parties obligate themselves reciprocally, so that the obligation of each party is correlative to the obligation of the other.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1909,Onerous contracts,"A contract is onerous when each of the parties obtains an advantage in exchange for his obligation.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1910,Gratuitous contracts,"A contract is gratuitous when one party obligates himself towards another for the benefit of the latter, without obtaining any advantage in return.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
1911,Commutative contracts,"A contract is commutative when the performance of the obligation of each party is correlative to the performance of the other.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,IV.  CONVENTIONAL OBLIGATIONS OR CONTRACTS,1.  GENERAL PRINCIPLES,,
